name,bytes,build,threads,mode,time,reads_per_sec,mapped,matches
"BatchingFm<Ranker<QuadBlock32_8_8_8FP, ShiftSB, SimdCount10>>",1559696776,3.528713653,12,Sequential,0.386565273,2586885.242534448,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,1,Prefetch,1.193810929,837653.5812397475,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,1,Batch,2.648579656,377560.85520578356,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,1,Sequential,4.286534875,233288.66535816996,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,6,Prefetch,0.245739337,4069352.559537507,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,6,Batch,0.525653317,1902394.539631527,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,6,Sequential,0.740312734,1350780.4932611089,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,12,Prefetch,0.183982293,5435305.668247107,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,12,Batch,0.423904505,2359021.874513931,148339,4280960
"BatchingFm<Ranker<QuadBlock7_18_7P, ShiftSB, SimdCount10>>",1040401064,1.126828673,12,Sequential,0.415582953,2406258.468450702,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,1,Prefetch,2.029033341,492845.52392182697,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,1,Batch,5.462390363,183070.0359266872,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,1,Sequential,5.583633433,179094.85140802222,148339,4280960
"BatchingFm<RSQVector<RSSupportPlain>>",877788408,49.939011825,6,Prefetch,0.45240684,2210399.8250777996,148339,4280960
