ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RankSelect101111",2,524288,1.032,0,15.22,11.67,12.96,2.54,2.46,2.15,1.70,1.48,1.76
"Rank9",2,524288,1.251,0,8.38,2.48,3.04,1.41,0.78,0.57,0.76,0.40,0.52
"RankSmall<1, 9>",2,524288,1.126,0,11.91,7.32,7.82,2.05,1.29,1.31,1.19,1.02,1.13
"RankSmall<2, 9>",2,524288,1.189,0,8.53,2.94,3.54,1.42,0.87,0.59,0.79,0.45,0.59
"RankSmall<1, 10>",2,524288,1.064,0,14.91,10.60,11.24,2.47,1.86,1.93,1.59,1.46,1.66
"RankSmall<1, 11>",2,524288,1.032,0,16.11,13.01,13.50,2.72,2.21,2.33,1.88,1.80,1.95
"RankSmall<3, 13>",2,524288,1.017,0,20.56,16.33,17.53,3.42,2.90,2.96,2.83,3.22,2.58
"Ranker<BinaryBlock64x2>",2,524288,1.334,0,13.54,4.13,4.08,2.27,0.71,0.69,1.25,0.63,0.68
"Ranker<BinaryBlock32x2>",2,524288,1.144,0,13.54,4.55,4.81,2.28,0.80,0.83,1.32,0.76,0.82
"Ranker<BinaryBlock16x2>",2,524288,1.068,0,13.51,4.40,5.06,2.24,0.74,0.80,1.24,0.68,0.79
"Ranker<BinaryBlock16>",2,524288,1.034,0,17.91,6.10,6.56,2.99,1.02,1.10,1.65,0.92,1.09
"Ranker<BinaryBlock16Spider>",2,524288,1.034,0,21.48,16.79,17.06,3.56,2.69,2.81,2.17,1.87,2.12
"RSQVector<RSSupportPlain>",4,262144,1.128,1,22.17,21.70,21.56,3.72,3.68,4.02,3.47,3.43,3.54
"RSQVector<RSSupportPlain>",4,262144,1.128,0,14.34,9.93,10.02,2.40,1.69,1.98,1.81,1.53,1.67
"RSQVector<RSSupportPlain<512>>",4,262144,1.066,1,44.25,44.46,45.35,7.38,7.45,7.55,8.45,8.43,8.78
"RSQVector<RSSupportPlain<512>>",4,262144,1.066,0,20.76,18.46,19.70,3.45,3.08,3.25,2.92,2.89,3.12
"FlatTextWithRankSupport<i64>",4,262144,2.671,1,18.71,6.12,10.72,3.14,1.12,1.76,1.71,1.04,1.71
"FlatTextWithRankSupport<i64>",4,262144,2.671,0,17.80,5.27,10.05,2.99,0.90,1.68,1.63,0.84,1.49
"FlatTextWithRankSupport<i64, Block512>",4,262144,2.070,1,31.16,22.49,24.89,5.24,3.83,4.44,3.67,3.42,4.25
"FlatTextWithRankSupport<i64, Block512>",4,262144,2.070,0,22.00,10.43,12.21,3.67,1.76,2.14,2.27,1.62,2.09
"CondensedTextWithRankSupport<i64>",4,262144,1.504,1,13.53,13.25,16.78,2.27,2.26,2.79,2.24,2.20,2.79
"CondensedTextWithRankSupport<i64>",4,262144,1.504,0,10.22,5.23,9.16,1.74,0.88,1.83,1.02,0.85,1.51
"CondensedTextWithRankSupport<i64, Block512>",4,262144,1.068,1,25.80,25.55,28.66,4.32,4.31,4.80,4.16,4.11,5.08
"CondensedTextWithRankSupport<i64, Block512>",4,262144,1.068,0,24.61,14.97,21.42,4.14,2.58,3.60,2.59,2.35,3.20
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,262144,2.001,1,16.07,5.03,4.84,2.71,0.96,0.89,1.50,0.86,0.83
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,262144,2.001,0,11.94,4.55,4.17,2.16,0.84,1.04,1.21,0.79,0.82
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,262144,1.334,1,16.76,7.12,6.93,2.81,1.19,1.17,1.65,1.03,1.14
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,262144,1.334,0,12.46,5.49,6.08,2.10,1.65,1.03,1.30,0.88,1.05
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,262144,1.145,1,18.53,8.42,8.05,3.13,1.41,1.37,1.77,1.28,1.33
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,262144,1.145,0,14.04,6.82,7.50,2.40,1.15,1.20,1.43,1.05,1.22
"RSNarrow",2,1048576,1.251,0,12.04,4.26,4.15,2.04,0.73,1.04,1.17,0.68,0.73
"RSWide",2,1048576,1.032,0,21.02,13.64,14.21,3.49,2.28,2.35,2.18,1.89,2.03
"CondensedTextWithRankSupport<i64>",2,1048576,1.503,0,10.65,3.98,7.22,1.82,0.69,1.67,1.07,0.65,1.24
"CondensedTextWithRankSupport<i64, Block512>",2,1048576,1.066,0,18.04,7.55,10.61,3.16,1.53,2.09,1.84,1.46,2.16
"RankSelect101111",2,1048576,1.032,0,15.88,11.70,12.98,2.94,2.01,2.16,1.74,1.49,1.76
"Rank9",2,1048576,1.250,0,11.33,3.19,3.06,1.95,0.57,0.51,1.10,0.53,0.56
"RankSmall<1, 9>",2,1048576,1.126,0,13.21,7.41,7.83,2.22,1.47,1.73,1.34,1.00,1.13
"RankSmall<2, 9>",2,1048576,1.188,0,10.77,3.62,3.57,1.84,0.63,0.60,1.04,0.57,0.62
"RankSmall<1, 10>",2,1048576,1.063,0,15.53,10.66,11.26,2.61,1.87,1.95,1.67,1.47,1.63
"RankSmall<1, 11>",2,1048576,1.032,0,16.80,13.07,13.51,2.86,2.25,2.34,1.96,1.81,1.96
"RankSmall<3, 13>",2,1048576,1.016,0,21.07,16.58,17.61,3.57,2.93,2.97,2.59,2.43,2.58
"Ranker<BinaryBlock64x2>",2,1048576,1.333,0,15.62,4.63,4.18,2.65,0.80,1.06,1.49,0.74,0.71
"Ranker<BinaryBlock32x2>",2,1048576,1.143,0,15.46,5.20,4.89,2.64,0.91,0.81,1.47,0.84,0.81
"Ranker<BinaryBlock16x2>",2,1048576,1.067,0,15.30,4.99,5.11,2.56,0.89,0.81,1.43,0.78,0.82
"Ranker<BinaryBlock16>",2,1048576,1.033,0,19.19,6.46,6.61,3.22,1.08,1.11,2.30,1.27,1.10
"Ranker<BinaryBlock16Spider>",2,1048576,1.033,0,21.93,16.86,17.05,3.64,2.71,2.83,2.22,1.91,2.14
"RSQVector<RSSupportPlain>",4,524288,1.127,1,23.42,22.90,21.59,3.89,3.90,3.67,3.55,3.53,3.55
"RSQVector<RSSupportPlain>",4,524288,1.127,0,16.07,10.96,10.06,2.70,1.86,1.70,2.02,1.71,1.70
"RSQVector<RSSupportPlain<512>>",4,524288,1.064,1,44.95,45.07,45.47,7.50,8.02,7.60,8.43,8.47,8.79
"RSQVector<RSSupportPlain<512>>",4,524288,1.064,0,21.73,19.02,19.74,3.61,3.28,3.26,2.96,2.92,3.16
"FlatTextWithRankSupport<i64>",4,524288,2.669,1,21.10,6.78,10.72,3.57,1.18,1.78,1.95,1.13,1.74
"FlatTextWithRankSupport<i64>",4,524288,2.669,0,18.93,5.66,10.05,3.27,1.00,1.68,1.81,0.96,1.51
"FlatTextWithRankSupport<i64, Block512>",4,524288,2.069,1,34.96,26.28,26.11,5.92,4.51,4.61,4.05,3.76,4.44
"FlatTextWithRankSupport<i64, Block512>",4,524288,2.069,0,24.62,11.57,12.40,4.15,1.95,2.17,2.51,1.80,2.14
"CondensedTextWithRankSupport<i64>",4,524288,1.503,1,15.19,14.40,16.79,2.56,2.47,2.80,2.37,2.30,2.79
"CondensedTextWithRankSupport<i64>",4,524288,1.503,0,12.75,6.25,9.18,2.17,1.35,1.82,1.31,1.01,1.52
"CondensedTextWithRankSupport<i64, Block512>",4,524288,1.066,1,26.80,26.57,28.89,4.49,4.44,4.86,4.24,4.20,5.15
"CondensedTextWithRankSupport<i64, Block512>",4,524288,1.066,0,25.34,15.10,21.44,4.25,2.90,3.89,2.69,2.37,3.30
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,524288,2.001,1,18.32,5.66,5.03,3.17,0.97,0.89,1.79,0.95,0.86
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,524288,2.001,0,13.93,4.92,4.18,2.50,1.27,0.74,1.46,0.83,0.79
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,524288,1.334,1,18.10,7.46,6.93,3.08,1.34,1.18,1.76,1.13,1.16
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,524288,1.334,0,13.83,5.86,6.08,2.36,1.05,1.03,1.40,0.97,1.07
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,524288,1.144,1,19.30,8.77,8.12,3.26,1.74,1.37,1.92,1.57,1.33
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,524288,1.144,0,14.94,7.18,7.55,2.55,1.25,1.21,1.54,1.13,1.24
"RSNarrow",2,2097152,1.250,0,14.87,4.73,4.27,2.53,0.91,0.73,1.45,0.79,0.78
"RSWide",2,2097152,1.032,0,22.63,13.92,14.23,3.76,2.32,2.35,2.37,2.08,2.04
"CondensedTextWithRankSupport<i64>",2,2097152,1.502,0,15.96,4.99,7.64,2.79,0.99,1.30,1.54,0.85,1.29
"CondensedTextWithRankSupport<i64, Block512>",2,2097152,1.065,0,21.57,8.64,10.77,3.76,1.71,2.18,2.14,1.62,2.24
"RankSelect101111",2,2097152,1.031,0,17.52,11.76,13.04,2.98,2.02,2.17,1.85,1.50,1.78
"Rank9",2,2097152,1.250,0,14.33,3.70,3.16,2.48,0.70,0.89,1.38,0.63,0.61
"RankSmall<1, 9>",2,2097152,1.125,0,15.84,7.55,7.83,2.70,1.25,1.57,1.66,1.05,1.13
"RankSmall<2, 9>",2,2097152,1.188,0,14.05,4.12,3.66,2.45,0.73,0.68,1.39,0.70,0.67
"RankSmall<1, 10>",2,2097152,1.063,0,17.25,10.79,11.27,2.99,1.88,1.94,1.86,1.50,1.64
"RankSmall<1, 11>",2,2097152,1.032,0,18.37,13.16,13.54,3.16,2.26,2.38,2.05,1.84,1.96
"RankSmall<3, 13>",2,2097152,1.016,0,22.35,17.06,17.80,3.74,2.98,3.00,2.65,2.47,2.60
"Ranker<BinaryBlock64x2>",2,2097152,1.333,0,18.93,5.21,4.34,3.25,0.94,0.73,1.79,0.85,0.73
"Ranker<BinaryBlock32x2>",2,2097152,1.143,0,18.20,5.89,5.02,3.10,1.03,1.50,1.74,0.97,0.84
"Ranker<BinaryBlock16x2>",2,2097152,1.067,0,17.73,5.49,5.21,3.01,0.97,0.84,1.71,0.90,0.84
"Ranker<BinaryBlock16>",2,2097152,1.033,0,21.41,7.02,6.60,3.65,1.21,1.14,2.03,1.12,1.48
"Ranker<BinaryBlock16Spider>",2,2097152,1.033,0,22.70,16.98,17.05,3.80,2.71,2.81,2.36,1.99,2.13
"RSQVector<RSSupportPlain>",4,1048576,1.126,1,24.90,24.35,21.89,4.16,4.17,3.67,3.75,3.80,3.60
"RSQVector<RSSupportPlain>",4,1048576,1.126,0,17.87,11.91,10.36,3.06,2.08,1.74,2.28,1.91,1.80
"RSQVector<RSSupportPlain<512>>",4,1048576,1.063,1,45.66,45.72,45.51,7.70,8.12,7.62,8.51,8.56,8.85
"RSQVector<RSSupportPlain<512>>",4,1048576,1.063,0,22.78,19.65,19.86,3.95,3.34,3.28,3.04,2.99,3.19
"FlatTextWithRankSupport<i64>",4,1048576,2.669,1,23.03,7.37,10.73,3.93,1.27,1.80,2.13,1.24,1.78
"FlatTextWithRankSupport<i64>",4,1048576,2.669,0,20.71,6.09,10.06,3.58,1.40,1.69,1.97,1.07,1.56
"FlatTextWithRankSupport<i64, Block512>",4,1048576,2.068,1,38.95,30.30,27.16,6.82,5.32,4.86,4.41,4.12,4.43
"FlatTextWithRankSupport<i64, Block512>",4,1048576,2.068,0,27.61,12.86,13.02,4.69,2.53,2.23,2.74,1.98,2.16
"CondensedTextWithRankSupport<i64>",4,1048576,1.503,1,18.92,16.42,16.83,3.37,2.93,2.81,2.67,2.66,2.81
"CondensedTextWithRankSupport<i64>",4,1048576,1.503,0,17.34,7.41,9.39,3.08,1.39,1.57,1.70,1.24,1.55
"CondensedTextWithRankSupport<i64, Block512>",4,1048576,1.065,1,30.33,30.17,29.70,5.20,5.14,5.04,5.40,4.46,5.23
"CondensedTextWithRankSupport<i64, Block512>",4,1048576,1.065,0,27.28,15.61,21.52,4.68,3.03,3.68,2.90,2.51,3.40
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,1048576,2.000,1,22.85,6.64,5.21,3.99,1.19,0.93,2.16,1.09,0.89
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,1048576,2.000,0,18.51,5.69,4.36,3.32,1.06,0.80,1.76,0.94,0.81
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,1048576,1.334,1,22.02,8.43,7.10,3.72,1.48,1.22,2.14,1.29,1.22
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,1048576,1.334,0,17.80,6.74,6.14,3.01,1.22,1.07,1.77,1.10,1.08
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,1048576,1.144,1,21.98,10.10,8.16,3.76,1.70,1.40,2.16,1.57,1.38
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,1048576,1.144,0,17.73,7.93,7.57,3.05,1.36,1.23,1.82,1.27,1.27
"RSNarrow",2,4194304,1.250,0,19.55,5.45,4.49,3.35,0.98,0.77,1.80,0.92,0.87
"RSWide",2,4194304,1.031,0,25.46,14.43,14.27,4.32,2.50,2.76,2.64,2.46,2.08
"CondensedTextWithRankSupport<i64>",2,4194304,1.502,0,19.27,5.42,7.87,3.41,1.10,1.35,1.80,0.93,1.31
"CondensedTextWithRankSupport<i64, Block512>",2,4194304,1.065,0,25.46,9.84,11.51,4.50,1.96,2.27,2.38,1.75,2.29
"RankSelect101111",2,4194304,1.031,0,20.36,11.95,13.18,3.50,2.36,2.48,2.01,1.59,1.80
"Rank9",2,4194304,1.250,0,18.17,4.21,3.51,3.21,0.93,0.60,1.68,0.73,0.67
"RankSmall<1, 9>",2,4194304,1.125,0,20.30,7.86,7.89,3.51,1.44,1.32,1.96,1.13,1.13
"RankSmall<2, 9>",2,4194304,1.188,0,18.01,4.59,3.97,3.23,0.99,0.68,1.75,0.81,0.73
"RankSmall<1, 10>",2,4194304,1.063,0,20.77,11.04,11.33,3.72,2.01,1.94,2.09,1.56,1.67
"RankSmall<1, 11>",2,4194304,1.031,0,21.28,13.45,13.60,3.81,2.45,2.35,2.22,1.89,1.99
"RankSmall<3, 13>",2,4194304,1.016,0,24.50,17.65,18.07,4.25,3.21,3.05,2.81,3.35,2.64
"Ranker<BinaryBlock64x2>",2,4194304,1.333,0,22.06,5.62,4.52,3.85,1.11,0.76,2.03,0.93,0.75
"Ranker<BinaryBlock32x2>",2,4194304,1.143,0,21.77,6.50,5.18,3.72,1.23,0.87,2.01,1.09,0.87
"Ranker<BinaryBlock16x2>",2,4194304,1.067,0,21.86,6.23,5.45,3.73,1.17,0.88,1.98,1.01,0.87
"Ranker<BinaryBlock16>",2,4194304,1.033,0,24.67,7.88,6.77,4.23,1.42,1.15,2.26,1.22,1.14
"Ranker<BinaryBlock16Spider>",2,4194304,1.033,0,24.54,17.21,17.09,4.17,2.84,2.84,2.42,2.00,2.16
"RSQVector<RSSupportPlain>",4,2097152,1.125,1,30.01,28.66,22.75,4.92,4.90,3.81,4.09,4.83,3.71
"RSQVector<RSSupportPlain>",4,2097152,1.125,0,22.76,14.26,10.86,3.92,2.53,1.82,2.66,2.22,1.91
"RSQVector<RSSupportPlain<512>>",4,2097152,1.063,1,48.82,48.70,46.01,8.39,8.71,8.79,8.59,8.64,8.94
"RSQVector<RSSupportPlain<512>>",4,2097152,1.063,0,26.81,22.06,20.43,4.68,3.87,3.39,3.26,3.31,3.26
"FlatTextWithRankSupport<i64>",4,2097152,2.669,1,24.44,7.66,10.73,4.17,1.45,1.81,2.27,1.29,1.77
"FlatTextWithRankSupport<i64>",4,2097152,2.669,0,22.44,6.40,10.07,3.82,1.46,1.68,2.07,1.11,1.52
"FlatTextWithRankSupport<i64, Block512>",4,2097152,2.067,1,42.11,33.43,27.88,7.42,5.92,5.38,4.63,4.29,4.51
"FlatTextWithRankSupport<i64, Block512>",4,2097152,2.067,0,30.12,13.86,13.22,5.14,2.93,2.27,2.88,2.11,2.18
"CondensedTextWithRankSupport<i64>",4,2097152,1.502,1,23.21,18.44,16.90,3.90,3.24,2.82,2.90,2.87,2.87
"CondensedTextWithRankSupport<i64>",4,2097152,1.502,0,21.38,8.22,9.60,3.69,1.56,1.61,1.95,1.35,1.55
"CondensedTextWithRankSupport<i64, Block512>",4,2097152,1.065,1,35.01,34.69,30.81,6.04,5.88,5.27,4.73,4.72,5.26
"CondensedTextWithRankSupport<i64, Block512>",4,2097152,1.065,0,30.44,16.40,21.87,5.18,2.95,3.76,3.06,2.59,3.48
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,2097152,2.000,1,26.09,7.39,5.36,4.43,1.57,1.55,2.33,1.17,0.91
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,2097152,2.000,0,21.46,5.94,4.41,3.74,1.16,0.81,1.96,0.99,0.82
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,2097152,1.333,1,25.99,9.40,7.33,4.40,1.72,1.68,2.37,1.42,1.21
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,2097152,1.333,0,21.82,7.47,6.26,3.70,1.40,1.10,2.22,1.23,1.09
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,2097152,1.144,1,26.32,12.26,8.44,4.56,2.08,1.47,2.48,1.78,1.40
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,2097152,1.144,0,22.40,8.93,7.77,3.91,1.60,1.29,2.13,1.42,1.30
"RSNarrow",2,8388608,1.250,0,21.68,5.76,4.84,3.73,1.28,0.80,1.96,1.00,0.89
"RSWide",2,8388608,1.031,0,28.07,14.94,14.31,4.86,2.94,2.38,2.75,2.67,2.10
"CondensedTextWithRankSupport<i64>",2,8388608,1.502,0,18.14,5.10,7.36,3.30,1.26,1.24,1.69,0.90,1.21
"CondensedTextWithRankSupport<i64, Block512>",2,8388608,1.065,0,25.05,9.65,10.65,4.39,2.01,2.17,2.31,1.73,2.12
"RankSelect101111",2,8388608,1.031,0,21.75,12.09,13.31,3.86,2.22,2.22,2.13,1.59,1.83
"Rank9",2,8388608,1.250,0,20.45,4.67,3.85,3.52,1.13,0.68,1.86,0.82,0.71
"RankSmall<1, 9>",2,8388608,1.125,0,23.29,8.13,7.95,4.04,1.56,1.33,2.16,1.18,1.15
"RankSmall<2, 9>",2,8388608,1.188,0,21.16,5.13,4.35,3.67,1.28,0.76,1.89,0.89,0.78
"RankSmall<1, 10>",2,8388608,1.063,0,23.89,11.27,11.40,4.14,2.12,1.95,2.25,1.59,1.65
"RankSmall<1, 11>",2,8388608,1.031,0,24.07,13.69,13.66,4.28,2.54,2.36,2.35,1.93,2.01
"RankSmall<3, 13>",2,8388608,1.016,0,26.97,18.15,18.33,4.65,3.20,3.08,2.89,2.60,2.70
"Ranker<BinaryBlock64x2>",2,8388608,1.333,0,24.46,5.93,4.62,4.16,1.18,0.78,2.17,0.96,0.76
"Ranker<BinaryBlock32x2>",2,8388608,1.143,0,24.52,6.93,5.31,4.14,1.27,0.89,2.18,1.14,0.88
"Ranker<BinaryBlock16x2>",2,8388608,1.067,0,24.38,6.56,5.55,4.11,1.51,0.90,2.16,1.10,0.96
"Ranker<BinaryBlock16>",2,8388608,1.033,0,27.04,8.51,6.85,4.59,1.78,1.72,2.43,1.29,1.15
"Ranker<BinaryBlock16Spider>",2,8388608,1.033,0,25.98,17.36,17.12,4.46,2.91,2.82,2.51,2.03,2.16
"RSQVector<RSSupportPlain>",4,4194304,1.125,1,32.85,31.19,23.30,5.48,5.51,4.30,4.29,5.10,3.76
"RSQVector<RSSupportPlain>",4,4194304,1.125,0,25.37,15.32,11.33,4.41,2.77,1.89,2.95,2.41,1.97
"RSQVector<RSSupportPlain<512>>",4,4194304,1.063,1,50.45,50.27,46.16,8.62,8.50,7.70,8.65,8.70,9.70
"RSQVector<RSSupportPlain<512>>",4,4194304,1.063,0,28.70,23.38,20.56,4.90,3.95,3.40,3.42,3.46,3.35
"FlatTextWithRankSupport<i64>",4,4194304,2.669,1,24.58,7.72,10.74,4.28,1.48,1.80,2.23,1.29,1.75
"FlatTextWithRankSupport<i64>",4,4194304,2.669,0,22.75,6.45,10.06,3.88,1.21,1.69,2.08,1.12,1.52
"FlatTextWithRankSupport<i64, Block512>",4,4194304,2.067,1,43.37,34.67,28.24,7.62,6.17,5.11,4.66,4.34,4.52
"FlatTextWithRankSupport<i64, Block512>",4,4194304,2.067,0,30.99,14.26,13.27,5.27,2.54,2.28,2.96,2.18,2.20
"CondensedTextWithRankSupport<i64>",4,4194304,1.502,1,24.29,18.90,16.95,4.18,3.50,2.84,3.06,2.99,2.85
"CondensedTextWithRankSupport<i64>",4,4194304,1.502,0,22.94,8.48,9.70,3.95,1.71,1.63,2.06,1.40,1.56
"CondensedTextWithRankSupport<i64, Block512>",4,4194304,1.065,1,37.36,37.01,31.39,6.38,6.32,5.39,4.85,4.82,5.29
"CondensedTextWithRankSupport<i64, Block512>",4,4194304,1.065,0,32.03,16.77,21.99,5.51,3.11,3.82,3.14,2.64,3.46
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,4194304,2.000,1,27.58,7.68,5.42,4.73,1.46,0.98,2.44,1.22,0.92
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,4194304,2.000,0,22.94,6.12,4.44,4.00,1.13,0.83,2.06,1.02,0.83
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,4194304,1.333,1,28.23,9.89,7.48,4.81,1.87,1.29,2.53,1.48,1.25
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,4194304,1.333,0,24.07,7.74,6.36,4.17,1.51,1.39,2.16,1.25,1.10
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,4194304,1.144,1,28.78,13.42,8.64,4.94,2.77,1.52,2.66,1.90,1.41
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,4194304,1.144,0,25.01,9.36,7.94,4.31,1.76,1.31,2.31,1.48,1.31
"RSNarrow",2,16777216,1.250,0,22.59,5.94,4.81,3.96,1.36,0.82,2.05,1.01,0.95
"RSWide",2,16777216,1.031,0,29.34,15.22,14.37,4.98,2.74,2.66,2.84,2.75,2.12
"CondensedTextWithRankSupport<i64>",2,16777216,1.502,0,19.43,5.34,7.37,3.41,1.30,1.25,1.75,0.92,1.22
"CondensedTextWithRankSupport<i64, Block512>",2,16777216,1.065,0,26.31,10.07,10.99,4.57,2.05,2.21,2.46,1.75,2.16
"RankSelect101111",2,16777216,1.031,0,23.49,12.14,13.41,4.17,2.29,2.24,2.19,1.60,1.85
"Rank9",2,16777216,1.250,0,21.48,4.94,4.05,3.71,1.48,0.73,1.99,0.87,0.74
"RankSmall<1, 9>",2,16777216,1.125,0,24.68,8.27,8.00,4.29,1.78,1.59,2.25,1.20,1.16
"RankSmall<2, 9>",2,16777216,1.188,0,22.39,5.41,4.61,4.00,1.29,0.83,1.99,0.94,0.82
"RankSmall<1, 10>",2,16777216,1.063,0,25.31,11.42,11.44,4.49,2.08,1.95,2.35,1.62,1.67
"RankSmall<1, 11>",2,16777216,1.031,0,25.34,13.84,13.70,4.45,2.61,2.40,2.43,1.95,2.03
"RankSmall<3, 13>",2,16777216,1.016,0,28.05,18.44,18.47,4.74,3.39,3.10,2.97,2.65,2.71
"Ranker<BinaryBlock64x2>",2,16777216,1.333,0,25.89,6.13,4.68,4.34,1.20,1.11,2.25,0.98,0.77
"Ranker<BinaryBlock32x2>",2,16777216,1.143,0,25.74,7.07,5.38,4.32,1.35,0.90,2.26,1.17,0.88
"Ranker<BinaryBlock16x2>",2,16777216,1.067,0,25.66,6.70,5.63,4.34,1.29,0.91,2.25,1.09,0.92
"Ranker<BinaryBlock16>",2,16777216,1.033,0,28.29,8.82,6.89,4.81,1.69,1.18,2.54,1.33,1.16
"Ranker<BinaryBlock16Spider>",2,16777216,1.033,0,26.83,17.48,17.17,4.57,2.90,2.83,2.56,2.04,2.17
"RSQVector<RSSupportPlain>",4,8388608,1.125,1,33.41,31.37,22.35,5.50,5.43,4.19,4.26,5.08,3.75
"RSQVector<RSSupportPlain>",4,8388608,1.125,0,25.31,15.15,10.60,4.44,2.75,1.78,2.92,2.38,1.89
"RSQVector<RSSupportPlain<512>>",4,8388608,1.063,1,50.67,50.44,46.24,8.83,9.01,8.13,8.62,8.66,8.95
"RSQVector<RSSupportPlain<512>>",4,8388608,1.063,0,29.10,23.53,20.47,5.10,4.16,3.35,3.39,3.45,3.32
"FlatTextWithRankSupport<i64>",4,8388608,2.669,1,24.00,7.68,10.75,4.12,1.34,1.85,2.18,1.27,1.74
"FlatTextWithRankSupport<i64>",4,8388608,2.669,0,21.94,6.35,10.07,3.77,1.28,1.69,2.02,1.13,1.51
"FlatTextWithRankSupport<i64, Block512>",4,8388608,2.067,1,42.69,33.82,26.84,7.42,6.03,4.84,4.98,4.53,4.43
"FlatTextWithRankSupport<i64, Block512>",4,8388608,2.067,0,29.74,13.64,12.80,5.17,2.49,2.21,2.88,2.12,2.10
"CondensedTextWithRankSupport<i64>",4,8388608,1.502,1,23.94,18.66,16.83,4.32,3.48,2.80,2.98,3.13,2.83
"CondensedTextWithRankSupport<i64>",4,8388608,1.502,0,22.75,8.40,9.43,3.93,1.55,1.58,2.05,1.41,1.54
"CondensedTextWithRankSupport<i64, Block512>",4,8388608,1.065,1,36.89,36.62,30.63,6.49,6.28,5.26,5.05,4.79,5.28
"CondensedTextWithRankSupport<i64, Block512>",4,8388608,1.065,0,31.57,16.69,21.88,5.42,3.12,3.78,3.24,2.64,3.45
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,8388608,2.000,1,26.18,7.49,5.11,4.54,1.71,1.13,2.32,1.17,0.84
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,8388608,2.000,0,22.13,6.21,4.29,3.83,1.20,0.79,1.94,0.98,0.80
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,8388608,1.333,1,29.19,10.09,7.50,4.95,2.66,1.54,2.59,1.49,1.22
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,8388608,1.333,0,25.03,7.88,6.36,4.26,1.44,1.14,2.28,1.28,1.10
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,8388608,1.144,1,30.08,13.95,8.71,5.13,2.47,1.51,2.74,1.96,1.41
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,8388608,1.144,0,26.29,9.55,7.97,4.52,1.81,1.32,2.40,1.51,1.32
"RSNarrow",2,33554432,1.250,0,22.25,5.85,4.80,3.92,1.37,0.86,1.99,1.00,1.24
"RSWide",2,33554432,1.031,0,29.32,15.29,14.32,5.02,2.82,2.39,2.92,2.77,2.17
"CondensedTextWithRankSupport<i64>",2,33554432,1.502,0,21.66,5.99,7.74,3.75,1.63,1.32,1.99,1.03,1.32
"CondensedTextWithRankSupport<i64, Block512>",2,33554432,1.064,0,28.58,10.81,11.62,5.09,2.44,2.33,2.66,1.90,2.34
"RankSelect101111",2,33554432,1.031,0,23.47,12.13,13.23,4.20,2.16,2.20,2.23,1.66,1.85
"Rank9",2,33554432,1.250,0,20.63,5.27,3.76,3.58,1.29,0.73,1.90,0.95,0.73
"RankSmall<1, 9>",2,33554432,1.125,0,23.94,8.24,7.92,4.12,1.84,1.33,2.23,1.24,1.15
"RankSmall<2, 9>",2,33554432,1.188,0,21.81,5.74,4.39,3.88,1.33,0.82,2.00,1.02,0.79
"RankSmall<1, 10>",2,33554432,1.063,0,24.88,11.40,11.35,4.42,2.23,1.95,2.36,1.64,1.66
