ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"Ranker<BinaryBlock16>",2,16384,1.064,0,15.97,5.67,6.34,2.67,1.27,1.06,1.49,0.83,1.03
"Ranker<BinaryBlock16Spider>",2,16384,1.064,0,21.35,16.88,17.04,3.53,2.91,2.81,2.15,1.86,2.09
"RSQVector<RSSupportPlain>",4,8192,1.227,1,21.49,21.25,21.55,3.58,3.56,3.97,3.46,3.43,3.53
"RSQVector<RSSupportPlain>",4,8192,1.227,0,12.80,9.22,10.05,2.16,1.60,1.73,1.70,1.51,1.67
"RSQVector<RSSupportPlain<512>>",4,8192,1.164,1,44.67,44.91,45.36,7.49,7.44,8.23,8.47,8.49,8.76
"RSQVector<RSSupportPlain<512>>",4,8192,1.164,0,20.60,18.81,19.68,3.32,3.61,3.25,2.94,2.91,3.13
"FlatTextWithRankSupport<i64>",4,8192,2.723,1,17.93,5.57,10.72,2.99,0.98,1.95,1.64,0.93,1.72
"FlatTextWithRankSupport<i64>",4,8192,2.723,0,17.06,4.96,10.05,2.85,0.83,1.68,1.52,0.75,1.49
"FlatTextWithRankSupport<i64, Block512>",4,8192,2.176,1,26.81,18.89,23.69,4.52,3.20,4.24,3.28,3.11,4.00
"FlatTextWithRankSupport<i64, Block512>",4,8192,2.176,0,19.69,9.18,12.30,3.31,1.58,2.10,2.07,1.40,1.97
"CondensedTextWithRankSupport<i64>",4,8192,1.570,1,13.51,13.26,16.82,2.30,2.24,2.82,2.27,2.21,2.79
"CondensedTextWithRankSupport<i64>",4,8192,1.570,0,8.13,5.08,9.14,1.36,0.86,2.02,0.90,0.84,1.53
"CondensedTextWithRankSupport<i64, Block512>",4,8192,1.188,1,24.01,23.74,28.06,3.99,4.58,5.12,4.11,4.08,5.02
"CondensedTextWithRankSupport<i64, Block512>",4,8192,1.188,0,23.05,14.82,21.18,3.87,2.52,3.58,2.50,2.24,3.14
