ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12,latency_24,loop_24,stream_24,latency_48,loop_48,stream_48,latency_96,loop_96,stream_96,latency_192,loop_192,stream_192
"Rank9",2,4294967296,1.250,0,135.18956,20.39809,17.14052,46.02257,6.85817,5.77559,23.24764,3.48844,2.93893,11.69541,1.77954,1.50027,5.81078,0.95375,0.79900,3.01445,0.57423,0.47428,1.61633,0.39827,0.36767,0.88340,0.38345,0.36711
"RankSmall<2, 9>",2,4294967296,1.188,0,134.45765,22.54204,17.45984,46.45560,7.64658,5.88051,23.20729,3.86848,2.96373,11.71801,1.97170,1.52879,5.79220,1.04922,0.81066,2.98103,0.61227,0.46939,1.58956,0.39334,0.34568,0.88324,0.37337,0.34372
"RankSmall<1, 9>",2,4294967296,1.125,0,135.64756,28.17217,16.52313,45.42116,9.43545,5.55168,22.92889,4.77039,2.80408,11.53249,2.38316,1.39999,5.64417,1.22929,0.72369,2.85492,0.65738,0.40541,1.51173,0.39125,0.28659,0.83798,0.35265,0.28219
"RankSmall<1, 10>",2,4294967296,1.063,0,136.61269,36.73577,24.83573,45.77514,12.31007,8.29682,23.07645,6.20361,4.19430,11.61050,3.08693,2.10394,5.64205,1.57087,1.07708,2.83165,0.83503,0.57511,1.47343,0.47839,0.34588,0.80157,0.41964,0.30515
"RankSmall<1, 11>",2,4294967296,1.031,0,134.62293,42.18518,27.46065,45.05163,14.18103,9.18646,22.73470,7.13620,4.65037,11.44392,3.54057,2.31984,5.51438,1.79057,1.18410,2.76127,0.94594,0.62265,1.43406,0.53263,0.36073,0.77864,0.46004,0.31607
"RankSmall<3, 13>",2,4294967296,1.016,0,137.02988,59.27648,51.00529,46.55887,19.77572,17.33070,23.49267,10.01925,8.74475,11.88526,5.04161,4.41732,5.82054,2.57328,2.24585,2.99666,1.36222,1.17870,1.58340,0.76640,0.65011,0.87175,0.63974,0.50446
"Ranker<BinaryBlock64x2>",2,4294967296,1.333,0,131.92662,19.06409,10.86288,44.30584,6.32591,3.64107,22.09945,3.21838,1.84591,11.14904,1.64090,0.94857,5.37474,0.85086,0.50617,2.67779,0.46606,0.29517,1.41495,0.27460,0.22782,0.76203,0.26142,0.22599
"Ranker<BinaryBlock32x2>",2,4294967296,1.143,0,130.37128,23.60611,11.14547,44.34924,7.91821,3.73281,22.18752,3.99947,1.89708,11.09117,2.03601,0.96663,5.32212,1.04866,0.51252,2.64266,0.56882,0.29528,1.38404,0.32399,0.22312,0.74533,0.28363,0.22096
"Ranker<BinaryBlock16x2>",2,4294967296,1.067,0,130.56404,21.69558,11.74936,44.03492,7.26041,3.94524,22.12652,3.65216,1.99713,11.20244,1.84814,1.01713,5.32319,0.95302,0.53508,2.62807,0.52026,0.30337,1.37592,0.30030,0.22343,0.73936,0.27569,0.21972
"Ranker<BinaryBlock16>",2,4294967296,1.033,0,130.73566,23.84873,12.54855,44.14357,8.00282,4.19865,22.24628,4.03018,2.13447,11.14295,2.04061,1.07550,5.31677,1.03767,0.56520,2.61593,0.56508,0.31694,1.37455,0.30201,0.22327,0.73762,0.28247,0.21889
"Ranker<BinaryBlock16Spider>",2,4294967296,1.033,0,128.71365,32.99773,11.49777,43.19408,11.00837,3.83776,21.67467,5.56133,1.92742,10.87196,2.81328,0.97177,5.16672,1.46600,0.49405,2.56178,0.76574,0.27097,1.34373,0.43095,0.22121,0.72664,0.38524,0.21943
"RSQVector<RSSupportPlain>",4,2147483648,1.125,1,142.43909,134.56602,16.76322,47.78506,44.82761,5.62252,24.05923,22.62611,2.83085,12.12581,11.38209,1.38108,5.94809,5.61110,0.69380,3.00012,2.85010,0.36835,1.58285,1.50552,0.29148,0.92063,0.91647,0.28824
"RSQVector<RSSupportPlain>",4,2147483648,1.125,0,138.00276,58.31158,20.27464,46.21345,19.43811,6.81151,23.39812,9.84205,3.46956,11.74258,4.97197,1.71091,5.73582,2.52461,0.86191,2.90505,1.28191,0.46985,1.53709,0.69590,0.30859,0.86650,0.62788,0.28475
"RSQVector<RSSupportPlain<512>>",4,2147483648,1.063,1,159.06229,156.43596,30.61127,53.15929,52.11383,10.20836,26.80141,26.31085,5.12305,13.48470,13.20586,2.57534,6.48488,6.39625,1.29056,3.23562,3.20447,0.69022,1.66635,1.66003,0.46344,0.97606,0.97415,0.48807
"RSQVector<RSSupportPlain<512>>",4,2147483648,1.063,0,142.23685,78.56714,26.20598,48.12192,26.08119,8.80627,24.26435,13.18889,4.45233,12.22576,6.47631,2.23511,5.93702,3.28239,1.14501,2.98558,1.66143,0.65750,1.54592,0.88968,0.46927,0.84353,0.75911,0.46747
"FlatTextWithRankSupport<i64>",4,2147483648,2.669,1,142.26007,20.09188,27.55506,48.22041,6.77894,8.98800,24.35535,3.43093,4.68511,12.28395,1.72571,2.24620,6.14648,0.93931,1.22825,3.11099,0.55953,0.63875,1.62725,0.38150,0.40984,0.87633,0.36283,0.37275
"FlatTextWithRankSupport<i64>",4,2147483648,2.669,0,129.31084,24.46250,14.67408,44.22714,8.19972,4.95520,22.32539,4.15549,2.49178,11.36546,2.09931,1.26638,5.60543,1.07995,0.66442,2.82052,0.58743,0.37201,1.48443,0.34183,0.25550,0.84201,0.32165,0.24964
"FlatTextWithRankSupport<i64, Block512>",4,2147483648,2.066,1,162.98426,61.99952,43.99364,55.07071,21.09380,14.99407,27.70071,10.76716,7.60764,14.06609,5.57873,4.02123,7.26450,2.93393,2.09416,3.78810,1.72095,1.18613,2.00252,1.27391,0.96739,1.19726,1.01176,0.96257
"FlatTextWithRankSupport<i64, Block512>",4,2147483648,2.066,0,134.45090,24.98903,14.75279,45.90743,8.43381,4.98679,23.36650,4.25068,2.52138,11.69659,2.15039,1.28002,5.78638,1.10496,0.66723,2.90047,0.59739,0.37396,1.52449,0.35315,0.25332,0.83584,0.32214,0.24489
"CondensedTextWithRankSupport<i64>",4,2147483648,1.502,1,142.92377,59.04192,26.88177,48.49148,19.77340,8.95774,24.40630,10.00846,4.59766,12.32292,5.05685,2.34728,6.21437,2.58415,1.22541,3.21265,1.37022,0.69993,1.72169,0.77866,0.46460,0.93904,0.75214,0.43077
"CondensedTextWithRankSupport<i64>",4,2147483648,1.502,0,141.20330,36.70920,25.05928,47.51916,12.35960,8.41407,23.88498,6.24918,4.25691,12.06004,3.17347,2.17428,6.07907,1.64487,1.14042,3.16706,0.90687,0.64660,1.70856,0.54818,0.44390,0.92587,0.49344,0.42408
"CondensedTextWithRankSupport<i64, Block512>",4,2147483648,1.064,1,157.45806,78.28116,29.93540,52.84187,26.49369,10.00915,26.75380,13.27330,5.06031,13.51336,6.70887,2.57670,6.64820,3.36362,1.31078,3.36426,1.73397,0.72723,1.72055,0.94689,0.49909,0.96650,0.84630,0.49005
"CondensedTextWithRankSupport<i64, Block512>",4,2147483648,1.064,0,154.72398,37.33715,26.44426,51.84620,12.44134,8.89222,26.17816,6.27314,4.49648,13.27002,3.21694,2.28090,6.48130,1.67325,1.17121,3.26893,0.91693,0.66105,1.67297,0.58057,0.47433,0.89620,0.52431,0.46283
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,2147483648,2.000,1,136.99036,21.05557,10.78619,45.67700,7.08358,3.62263,23.13163,3.56695,1.83570,11.71899,1.81149,0.94776,5.69566,0.93489,0.50968,2.87173,0.51097,0.30251,1.51096,0.30946,0.23751,0.81276,0.30397,0.23663
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,2147483648,2.000,0,131.14411,27.02531,11.59632,43.58863,8.89497,3.90295,21.97879,4.50582,1.97492,11.23199,2.29021,1.02285,5.47869,1.20714,0.54329,2.73329,0.64909,0.31358,1.45392,0.36958,0.23932,0.78628,0.31998,0.23737
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,2147483648,1.333,1,136.55569,25.33586,11.48172,45.83033,8.42312,3.84778,23.04037,4.23702,1.95867,11.63638,2.16055,1.00478,5.62122,1.12041,0.52925,2.78533,0.59700,0.30163,1.46748,0.33826,0.22783,0.78274,0.35312,0.22543
