name,bytes,build,threads,mode,time,reads_per_sec,mapped,matches
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,1,Batch,6.362717461,157165.5516891103,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,1,Sequential,6.304373224,158620.05063296677,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,6,Prefetch,0.644539729,1551494.7411410848,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,6,Batch,1.199736135,833516.6132176223,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,6,Sequential,1.209238862,826966.4757102389,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,12,Prefetch,0.500720323,1997122.8529503883,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,12,Batch,0.778199628,1285017.3194891324,148339,4280960
"QuadFm<RSQVector<RSSupportPlain<512>>>",829080632,50.584906642,12,Sequential,0.769636517,1299314.6477741778,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,1,Prefetch,1.240042209,806424.1626149355,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,1,Batch,2.327336161,429675.78846466437,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,1,Sequential,4.1401873160000005,241534.9653711175,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,6,Prefetch,0.251325312,3978906.8281351617,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,6,Batch,0.464442377,2153119.632319856,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,6,Sequential,0.726951141,1375608.2680115085,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,12,Prefetch,0.191136705,5231857.481272371,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,12,Batch,0.40453729,2471960.001511851,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block256>>",2080768656,7.103879159,12,Sequential,0.392494953,2547803.461819291,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block512>>",1611499536,7.202636371,1,Prefetch,1.6476566689999999,606922.5578450896,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block512>>",1611499536,7.202636371,1,Batch,4.31382503,231812.8327054563,148339,4280960
"QuadFm<FlatTextWithRankSupport<i64, Block512>>",1611499536,7.202636371,1,Sequential,4.785759792,208953.23699104702,148339,4280960
