ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_48,loop_48,stream_48,latency_96,loop_96,stream_96
"Rank9",2,34359738368,1.250,0,145.23706,22.10096,19.58034,3.34525,0.64865,0.57737,1.81891,0.49115,0.47142
"RankSmall<2, 9>",2,34359738368,1.188,0,143.16594,23.55301,20.69182,3.37892,0.71589,0.62135,1.84466,0.53181,0.50009
"RankSmall<1, 9>",2,34359738368,1.125,0,145.31434,29.42455,20.72308,3.33677,0.79732,0.58539,1.80761,0.52257,0.45983
"RankSmall<1, 10>",2,34359738368,1.063,0,147.70804,39.45327,27.70771,3.36272,1.00332,0.70433,1.80589,0.63832,0.50520
"RankSmall<1, 11>",2,34359738368,1.031,0,145.95976,46.19134,30.95669,3.26411,1.08770,0.73947,1.73230,0.64804,0.47358
"RankSmall<3, 13>",2,34359738368,1.016,0,152.73343,66.44485,55.50619,3.50422,1.57671,1.32062,1.85526,0.94883,0.73547
"Ranker<BinaryBlock64x2>",2,34359738368,1.333,0,137.74377,19.53901,11.75897,2.96739,0.49889,0.32820,1.58091,0.30648,0.25537
"Ranker<BinaryBlock32x2>",2,34359738368,1.143,0,138.10677,24.00893,12.33012,2.97245,0.59818,0.33443,1.57541,0.34456,0.25559
"Ranker<BinaryBlock16x2>",2,34359738368,1.067,0,136.20093,22.22183,13.38197,3.00585,0.53882,0.35341,1.57604,0.32807,0.25935
"Ranker<BinaryBlock16>",2,34359738368,1.033,0,137.75908,24.47117,14.41198,3.00574,0.58770,0.37171,1.58156,0.32923,0.26017
"Ranker<BinaryBlock16Spider>",2,34359738368,1.033,0,133.43217,33.90212,12.04687,2.94516,0.77729,0.31676,1.54978,0.44081,0.25941
"RSQVector<RSSupportPlain>",4,17179869184,1.125,1,153.19569,145.15087,22.19287,3.46703,3.26627,0.64962,1.86684,1.74443,0.49596
"RSQVector<RSSupportPlain>",4,17179869184,1.125,0,149.82396,64.02056,28.10096,3.39982,1.52582,0.73123,1.83645,0.85557,0.49618
"RSQVector<RSSupportPlain<512>>",4,17179869184,1.063,1,172.54023,165.54599,33.35370,3.83390,3.69862,0.85725,2.05085,1.98365,0.73824
"RSQVector<RSSupportPlain<512>>",4,17179869184,1.063,0,155.21792,87.18802,37.66122,3.49214,2.02646,0.96663,1.88003,1.15948,0.69743
"FlatTextWithRankSupport<i64>",4,17179869184,2.669,1,153.78759,21.37654,32.23681,3.47355,1.46644,1.45963,1.84512,1.47952,1.47979
"FlatTextWithRankSupport<i64>",4,17179869184,2.669,0,138.03202,27.35501,13.32093,3.16331,1.32437,1.30362,1.67842,1.31564,1.33688
"FlatTextWithRankSupport<i64, Block512>",4,17179869184,2.066,1,173.33695,65.71274,46.66470,4.08104,1.97384,1.59597,2.19581,1.96212,1.61361
"FlatTextWithRankSupport<i64, Block512>",4,17179869184,2.066,0,144.56931,26.34795,13.76593,3.20795,1.16727,1.15291,1.68541,1.16670,1.16917
"CondensedTextWithRankSupport<i64>",4,17179869184,1.502,1,151.08098,60.69516,30.07747,3.45011,1.42992,0.80117,1.87047,0.82548,0.73980
"CondensedTextWithRankSupport<i64>",4,17179869184,1.502,0,148.76027,38.14002,26.36034,3.41724,0.96739,0.73496,1.85838,0.74038,0.73566
"CondensedTextWithRankSupport<i64, Block512>",4,17179869184,1.064,1,166.96568,84.23688,38.83679,3.73532,1.96633,1.01713,2.01353,1.13442,0.72297
"CondensedTextWithRankSupport<i64, Block512>",4,17179869184,1.064,0,163.88148,38.38867,32.89057,3.67971,1.09047,0.88998,1.96863,0.75651,0.69036
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,17179869184,2.000,1,142.61914,22.03884,10.91755,3.10930,1.09069,1.06464,1.64685,1.09176,1.09037
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,17179869184,2.000,0,136.12829,27.18671,11.88730,3.00161,1.07136,1.06209,1.59179,1.08737,1.08876
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,17179869184,1.333,1,142.74345,26.36162,12.61533,3.07167,0.63053,0.33939,1.62555,0.35833,0.26469
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,17179869184,1.333,0,133.19568,31.63003,14.09467,2.94414,0.76446,0.36663,1.56031,0.42814,0.26756
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,17179869184,1.144,1,141.63983,34.94891,14.22980,3.13980,0.80222,0.36830,1.64630,0.45623,0.26467
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,17179869184,1.144,0,137.72123,34.28773,14.94021,3.01955,0.79000,0.38798,1.58489,0.45167,0.26799
